county,ej_variable,value
Los Angeles,Total Population,2031
Los Angeles,Poverty (% Below Poverty Level),58.9
Los Angeles,Asthma,51.49
Los Angeles,Annual PM 2.5 Concentrations,12.41537427
Los Angeles,Cardiovascular Disease,12.45
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,13.75
Los Angeles,Pollution Burden Score,9.32
Los Angeles,Annual Ozone Concentration,0.048
Los Angeles,Total Population,3548
Los Angeles,Poverty (% Below Poverty Level),82.3
Los Angeles,Asthma,76.1
Los Angeles,Annual PM 2.5 Concentrations,12.27407804
Los Angeles,Cardiovascular Disease,20.87
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,20
Los Angeles,Pollution Burden Score,9.1
Los Angeles,Annual Ozone Concentration,0.047
Los Angeles,Total Population,1820
Los Angeles,Poverty (% Below Poverty Level),44.5
Los Angeles,Asthma,134.16
Los Angeles,Annual PM 2.5 Concentrations,12.25156535
Los Angeles,Cardiovascular Disease,14.79
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,28.3
Los Angeles,Pollution Burden Score,9.33
Los Angeles,Annual Ozone Concentration,0.047
Los Angeles,Total Population,3900
Los Angeles,Poverty (% Below Poverty Level),40.1
Los Angeles,Asthma,50.83
Los Angeles,Annual PM 2.5 Concentrations,12.04869771
Los Angeles,Cardiovascular Disease,17.7
Los Angeles,Drinking Water Contaminant Index,668.94
Los Angeles,Imparired Water Bodies,10
Los Angeles,Groundwater Threats,55.55
Los Angeles,Pollution Burden Score,9.66
Los Angeles,Annual Ozone Concentration,0.045
Los Angeles,Total Population,7326
Los Angeles,Poverty (% Below Poverty Level),63.7
Los Angeles,Asthma,113.88
Los Angeles,Annual PM 2.5 Concentrations,12.0998549
Los Angeles,Cardiovascular Disease,27.88
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,16
Los Angeles,Pollution Burden Score,7.74
Los Angeles,Annual Ozone Concentration,0.044
Los Angeles,Total Population,3553
Los Angeles,Poverty (% Below Poverty Level),53.4
Los Angeles,Asthma,101.27
Los Angeles,Annual PM 2.5 Concentrations,12.07139901
Los Angeles,Cardiovascular Disease,25.19
Los Angeles,Drinking Water Contaminant Index,718.21
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,58.5
Los Angeles,Pollution Burden Score,8
Los Angeles,Annual Ozone Concentration,0.044
Los Angeles,Total Population,5768
Los Angeles,Poverty (% Below Poverty Level),44.3
Los Angeles,Asthma,70.46
Los Angeles,Annual PM 2.5 Concentrations,12.06226955
Los Angeles,Cardiovascular Disease,13.6
Los Angeles,Drinking Water Contaminant Index,806.8
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,60.3
Los Angeles,Pollution Burden Score,9.55
Los Angeles,Annual Ozone Concentration,0.042
Los Angeles,Total Population,4832
Los Angeles,Poverty (% Below Poverty Level),57.6
Los Angeles,Asthma,84.23
Los Angeles,Annual PM 2.5 Concentrations,12.4277485
Los Angeles,Cardiovascular Disease,18.48
Los Angeles,Drinking Water Contaminant Index,329
Los Angeles,Imparired Water Bodies,10
Los Angeles,Groundwater Threats,10.75
Los Angeles,Pollution Burden Score,8.24
Los Angeles,Annual Ozone Concentration,0.043
Los Angeles,Total Population,4881
Los Angeles,Poverty (% Below Poverty Level),50.1
Los Angeles,Asthma,56.57
Los Angeles,Annual PM 2.5 Concentrations,12.15074524
Los Angeles,Cardiovascular Disease,18.99
Los Angeles,Drinking Water Contaminant Index,524.04
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,47.75
Los Angeles,Pollution Burden Score,9.46
Los Angeles,Annual Ozone Concentration,0.048
Los Angeles,Total Population,7155
Los Angeles,Poverty (% Below Poverty Level),54.7
Los Angeles,Asthma,92.82
Los Angeles,Annual PM 2.5 Concentrations,12.21728053
Los Angeles,Cardiovascular Disease,23.89
Los Angeles,Drinking Water Contaminant Index,495.6
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,24.3
Los Angeles,Pollution Burden Score,8.4
Los Angeles,Annual Ozone Concentration,0.043
Los Angeles,Total Population,5748
Los Angeles,Poverty (% Below Poverty Level),80.1
Los Angeles,Asthma,54.25
Los Angeles,Annual PM 2.5 Concentrations,12.02968272
Los Angeles,Cardiovascular Disease,23.93
Los Angeles,Drinking Water Contaminant Index,514.47
Los Angeles,Imparired Water Bodies,10
Los Angeles,Groundwater Threats,14
Los Angeles,Pollution Burden Score,8.18
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,6215
Los Angeles,Poverty (% Below Poverty Level),56.4
Los Angeles,Asthma,62.39
Los Angeles,Annual PM 2.5 Concentrations,12.21812171
Los Angeles,Cardiovascular Disease,17.48
Los Angeles,Drinking Water Contaminant Index,673.57
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,12.6
Los Angeles,Pollution Burden Score,8.97
Los Angeles,Annual Ozone Concentration,0.048
Los Angeles,Total Population,4756
Los Angeles,Poverty (% Below Poverty Level),86.9
Los Angeles,Asthma,136.47
Los Angeles,Annual PM 2.5 Concentrations,12.0688233
Los Angeles,Cardiovascular Disease,27.86
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,1.5
Los Angeles,Pollution Burden Score,7.49
Los Angeles,Annual Ozone Concentration,0.044
Los Angeles,Total Population,6035
Los Angeles,Poverty (% Below Poverty Level),66.5
Los Angeles,Asthma,110.5
Los Angeles,Annual PM 2.5 Concentrations,12.07407493
Los Angeles,Cardiovascular Disease,23.51
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,7.5
Los Angeles,Pollution Burden Score,7.74
Los Angeles,Annual Ozone Concentration,0.044
Los Angeles,Total Population,5687
Los Angeles,Poverty (% Below Poverty Level),66.8
Los Angeles,Asthma,79.94
Los Angeles,Annual PM 2.5 Concentrations,12.55763366
Los Angeles,Cardiovascular Disease,16.72
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,15.55
Los Angeles,Pollution Burden Score,9.1
Los Angeles,Annual Ozone Concentration,0.048
Los Angeles,Total Population,4735
Los Angeles,Poverty (% Below Poverty Level),54.8
Los Angeles,Asthma,95.67
Los Angeles,Annual PM 2.5 Concentrations,12.15347903
Los Angeles,Cardiovascular Disease,24.68
Los Angeles,Drinking Water Contaminant Index,459.74
Los Angeles,Imparired Water Bodies,10
Los Angeles,Groundwater Threats,30.75
Los Angeles,Pollution Burden Score,7.97
Los Angeles,Annual Ozone Concentration,0.043
Los Angeles,Total Population,2907
Los Angeles,Poverty (% Below Poverty Level),65.4
Los Angeles,Asthma,81.13
Los Angeles,Annual PM 2.5 Concentrations,12.84192716
Los Angeles,Cardiovascular Disease,16.94
Los Angeles,Drinking Water Contaminant Index,761.16
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,39.85
Los Angeles,Pollution Burden Score,9.01
Los Angeles,Annual Ozone Concentration,0.049
Los Angeles,Total Population,3753
Los Angeles,Poverty (% Below Poverty Level),52.7
Los Angeles,Asthma,113.88
Los Angeles,Annual PM 2.5 Concentrations,12.05259566
Los Angeles,Cardiovascular Disease,27.88
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,19.05
Los Angeles,Pollution Burden Score,7.96
Los Angeles,Annual Ozone Concentration,0.045
Los Angeles,Total Population,3809
Los Angeles,Poverty (% Below Poverty Level),46.1
Los Angeles,Asthma,88.26
Los Angeles,Annual PM 2.5 Concentrations,11.84882762
Los Angeles,Cardiovascular Disease,15.22
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,30
Los Angeles,Pollution Burden Score,8.66
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,4768
Los Angeles,Poverty (% Below Poverty Level),61.9
Los Angeles,Asthma,54.25
Los Angeles,Annual PM 2.5 Concentrations,12.02968272
Los Angeles,Cardiovascular Disease,23.93
Los Angeles,Drinking Water Contaminant Index,514.47
Los Angeles,Imparired Water Bodies,10
Los Angeles,Groundwater Threats,27.5
Los Angeles,Pollution Burden Score,9.55
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,3230
Los Angeles,Poverty (% Below Poverty Level),61.4
Los Angeles,Asthma,120.42
Los Angeles,Annual PM 2.5 Concentrations,12.09535727
Los Angeles,Cardiovascular Disease,24.35
Los Angeles,Drinking Water Contaminant Index,434.02
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,18
Los Angeles,Pollution Burden Score,7.87
Los Angeles,Annual Ozone Concentration,0.043
Los Angeles,Total Population,4904
Los Angeles,Poverty (% Below Poverty Level),45.9
Los Angeles,Asthma,121.6
Los Angeles,Annual PM 2.5 Concentrations,12.11292708
Los Angeles,Cardiovascular Disease,19.26
Los Angeles,Drinking Water Contaminant Index,613.54
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,33.1
Los Angeles,Pollution Burden Score,7.97
Los Angeles,Annual Ozone Concentration,0.043
Los Angeles,Total Population,3794
Los Angeles,Poverty (% Below Poverty Level),55.4
Los Angeles,Asthma,54.25
Los Angeles,Annual PM 2.5 Concentrations,12.04351864
Los Angeles,Cardiovascular Disease,23.93
Los Angeles,Drinking Water Contaminant Index,696.73
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,10.75
Los Angeles,Pollution Burden Score,8.84
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,6219
Los Angeles,Poverty (% Below Poverty Level),61.5
Los Angeles,Asthma,54.25
Los Angeles,Annual PM 2.5 Concentrations,12.02588499
Los Angeles,Cardiovascular Disease,23.93
Los Angeles,Drinking Water Contaminant Index,518.16
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,11
Los Angeles,Pollution Burden Score,8.44
Los Angeles,Annual Ozone Concentration,0.047
Los Angeles,Total Population,6558
Los Angeles,Poverty (% Below Poverty Level),48.6
Los Angeles,Asthma,77.98
Los Angeles,Annual PM 2.5 Concentrations,12.29587676
Los Angeles,Cardiovascular Disease,19.65
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,2
Los Angeles,Groundwater Threats,31.3
Los Angeles,Pollution Burden Score,8.36
Los Angeles,Annual Ozone Concentration,0.064
Los Angeles,Total Population,7273
Los Angeles,Poverty (% Below Poverty Level),56.9
Los Angeles,Asthma,94.42
Los Angeles,Annual PM 2.5 Concentrations,12.50092519
Los Angeles,Cardiovascular Disease,20.48
Los Angeles,Drinking Water Contaminant Index,339.04
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,17.05
Los Angeles,Pollution Burden Score,8.03
Los Angeles,Annual Ozone Concentration,0.043
Los Angeles,Total Population,4320
Los Angeles,Poverty (% Below Poverty Level),47.1
Los Angeles,Asthma,43.15
Los Angeles,Annual PM 2.5 Concentrations,12.06526369
Los Angeles,Cardiovascular Disease,18.75
Los Angeles,Drinking Water Contaminant Index,709.97
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,33
Los Angeles,Pollution Burden Score,8.53
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,3099
Los Angeles,Poverty (% Below Poverty Level),58.9
Los Angeles,Asthma,76.33
Los Angeles,Annual PM 2.5 Concentrations,11.73680492
Los Angeles,Cardiovascular Disease,21.61
Los Angeles,Drinking Water Contaminant Index,391.08
Los Angeles,Imparired Water Bodies,16
Los Angeles,Groundwater Threats,62.1
Los Angeles,Pollution Burden Score,8.44
Los Angeles,Annual Ozone Concentration,0.039
Los Angeles,Total Population,2458
Los Angeles,Poverty (% Below Poverty Level),61.2
Los Angeles,Asthma,113.45
Los Angeles,Annual PM 2.5 Concentrations,12.14625901
Los Angeles,Cardiovascular Disease,27.79
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,28.25
Los Angeles,Pollution Burden Score,7.94
Los Angeles,Annual Ozone Concentration,0.045
Los Angeles,Total Population,3400
Los Angeles,Poverty (% Below Poverty Level),37.7
Los Angeles,Asthma,88.49
Los Angeles,Annual PM 2.5 Concentrations,12.78098946
Los Angeles,Cardiovascular Disease,19.32
Los Angeles,Drinking Water Contaminant Index,338.56
Los Angeles,Imparired Water Bodies,10
Los Angeles,Groundwater Threats,35.3
Los Angeles,Pollution Burden Score,8.53
Los Angeles,Annual Ozone Concentration,0.042
Los Angeles,Total Population,4334
Los Angeles,Poverty (% Below Poverty Level),68.1
Los Angeles,Asthma,113.88
Los Angeles,Annual PM 2.5 Concentrations,12.116733
Los Angeles,Cardiovascular Disease,27.88
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,3.6
Los Angeles,Pollution Burden Score,7.37
Los Angeles,Annual Ozone Concentration,0.044
Los Angeles,Total Population,2109
Los Angeles,Poverty (% Below Poverty Level),55.9
Los Angeles,Asthma,122.71
Los Angeles,Annual PM 2.5 Concentrations,12.0701055
Los Angeles,Cardiovascular Disease,25.25
Los Angeles,Drinking Water Contaminant Index,669.99
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,20.8
Los Angeles,Pollution Burden Score,8.13
Los Angeles,Annual Ozone Concentration,0.044
Los Angeles,Total Population,3132
Los Angeles,Poverty (% Below Poverty Level),56
Los Angeles,Asthma,103.61
Los Angeles,Annual PM 2.5 Concentrations,11.70137136
Los Angeles,Cardiovascular Disease,14.57
Los Angeles,Drinking Water Contaminant Index,391.08
Los Angeles,Imparired Water Bodies,8
Los Angeles,Groundwater Threats,42.55
Los Angeles,Pollution Burden Score,7.77
Los Angeles,Annual Ozone Concentration,0.038
Los Angeles,Total Population,3720
Los Angeles,Poverty (% Below Poverty Level),57.9
Los Angeles,Asthma,46.98
Los Angeles,Annual PM 2.5 Concentrations,12.03778507
Los Angeles,Cardiovascular Disease,20.41
Los Angeles,Drinking Water Contaminant Index,673.92
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,18.05
Los Angeles,Pollution Burden Score,8.23
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,3872
Los Angeles,Poverty (% Below Poverty Level),62.7
Los Angeles,Asthma,93.94
Los Angeles,Annual PM 2.5 Concentrations,11.81424877
Los Angeles,Cardiovascular Disease,20.82
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,2.5
Los Angeles,Pollution Burden Score,7.52
Los Angeles,Annual Ozone Concentration,0.065
Los Angeles,Total Population,3039
Los Angeles,Poverty (% Below Poverty Level),48.3
Los Angeles,Asthma,65.92
Los Angeles,Annual PM 2.5 Concentrations,12.03688662
Los Angeles,Cardiovascular Disease,16.69
Los Angeles,Drinking Water Contaminant Index,821.08
Los Angeles,Imparired Water Bodies,5
Los Angeles,Groundwater Threats,12.25
Los Angeles,Pollution Burden Score,8.81
Los Angeles,Annual Ozone Concentration,0.055
Los Angeles,Total Population,3904
Los Angeles,Poverty (% Below Poverty Level),60.8
Los Angeles,Asthma,76.1
Los Angeles,Annual PM 2.5 Concentrations,12.25398221
Los Angeles,Cardiovascular Disease,20.87
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,3.55
Los Angeles,Pollution Burden Score,8.25
Los Angeles,Annual Ozone Concentration,0.048
Los Angeles,Total Population,3457
Los Angeles,Poverty (% Below Poverty Level),59.9
Los Angeles,Asthma,79.39
Los Angeles,Annual PM 2.5 Concentrations,11.52566258
Los Angeles,Cardiovascular Disease,21.48
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,49
Los Angeles,Pollution Burden Score,7.54
Los Angeles,Annual Ozone Concentration,0.062
Los Angeles,Total Population,7508
Los Angeles,Poverty (% Below Poverty Level),59.6
Los Angeles,Asthma,41.43
Los Angeles,Annual PM 2.5 Concentrations,12.53587816
Los Angeles,Cardiovascular Disease,10.45
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,20
Los Angeles,Pollution Burden Score,9.24
Los Angeles,Annual Ozone Concentration,0.048
Los Angeles,Total Population,4788
Los Angeles,Poverty (% Below Poverty Level),72.1
Los Angeles,Asthma,127.96
Los Angeles,Annual PM 2.5 Concentrations,11.69108081
Los Angeles,Cardiovascular Disease,27.86
Los Angeles,Drinking Water Contaminant Index,339.04
Los Angeles,Imparired Water Bodies,18
Los Angeles,Groundwater Threats,66.5
Los Angeles,Pollution Burden Score,7.48
Los Angeles,Annual Ozone Concentration,0.04
Los Angeles,Total Population,3841
Los Angeles,Poverty (% Below Poverty Level),51.2
Los Angeles,Asthma,79.55
Los Angeles,Annual PM 2.5 Concentrations,11.72604257
Los Angeles,Cardiovascular Disease,21.11
Los Angeles,Drinking Water Contaminant Index,337.44
Los Angeles,Imparired Water Bodies,22
Los Angeles,Groundwater Threats,12.45
Los Angeles,Pollution Burden Score,8.59
Los Angeles,Annual Ozone Concentration,0.041
Los Angeles,Total Population,4501
Los Angeles,Poverty (% Below Poverty Level),68.1
Los Angeles,Asthma,113.88
Los Angeles,Annual PM 2.5 Concentrations,12.13275518
Los Angeles,Cardiovascular Disease,27.88
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,8.25
Los Angeles,Pollution Burden Score,7.33
Los Angeles,Annual Ozone Concentration,0.044
Los Angeles,Total Population,2918
Los Angeles,Poverty (% Below Poverty Level),77.8
Los Angeles,Asthma,80.43
Los Angeles,Annual PM 2.5 Concentrations,12.16800708
Los Angeles,Cardiovascular Disease,19.67
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,0.75
Los Angeles,Pollution Burden Score,7.48
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,4150
Los Angeles,Poverty (% Below Poverty Level),50.1
Los Angeles,Asthma,99.57
Los Angeles,Annual PM 2.5 Concentrations,11.94583615
Los Angeles,Cardiovascular Disease,16.87
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,8.05
Los Angeles,Pollution Burden Score,8.01
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,6588
Los Angeles,Poverty (% Below Poverty Level),38.8
Los Angeles,Asthma,94.42
Los Angeles,Annual PM 2.5 Concentrations,12.07851936
Los Angeles,Cardiovascular Disease,20.48
Los Angeles,Drinking Water Contaminant Index,339.04
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,122
Los Angeles,Pollution Burden Score,8.53
Los Angeles,Annual Ozone Concentration,0.043
Los Angeles,Total Population,4165
Los Angeles,Poverty (% Below Poverty Level),66.2
Los Angeles,Asthma,68.25
Los Angeles,Annual PM 2.5 Concentrations,12.07684795
Los Angeles,Cardiovascular Disease,15.3
Los Angeles,Drinking Water Contaminant Index,339.04
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,83.1
Los Angeles,Pollution Burden Score,8.23
Los Angeles,Annual Ozone Concentration,0.043
Los Angeles,Total Population,2705
Los Angeles,Poverty (% Below Poverty Level),67.6
Los Angeles,Asthma,80.16
Los Angeles,Annual PM 2.5 Concentrations,12.136112
Los Angeles,Cardiovascular Disease,24.73
Los Angeles,Drinking Water Contaminant Index,540.06
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,27
Los Angeles,Pollution Burden Score,7.77
Los Angeles,Annual Ozone Concentration,0.045
Los Angeles,Total Population,5505
Los Angeles,Poverty (% Below Poverty Level),60.3
Los Angeles,Asthma,69.35
Los Angeles,Annual PM 2.5 Concentrations,12.15734144
Los Angeles,Cardiovascular Disease,21
Los Angeles,Drinking Water Contaminant Index,787.94
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,4.75
Los Angeles,Pollution Burden Score,8.02
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,3289
Los Angeles,Poverty (% Below Poverty Level),59.9
Los Angeles,Asthma,60.74
Los Angeles,Annual PM 2.5 Concentrations,12.14111892
Los Angeles,Cardiovascular Disease,24.24
Los Angeles,Drinking Water Contaminant Index,380.45
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,9.5
Los Angeles,Pollution Burden Score,7.68
Los Angeles,Annual Ozone Concentration,0.046
Los Angeles,Total Population,3073
Los Angeles,Poverty (% Below Poverty Level),69.8
Los Angeles,Asthma,86.23
Los Angeles,Annual PM 2.5 Concentrations,12.06000567
Los Angeles,Cardiovascular Disease,15.46
Los Angeles,Drinking Water Contaminant Index,726.64
Los Angeles,Imparired Water Bodies,0
Los Angeles,Groundwater Threats,11.5
Los Angeles,Pollution Burden Score,7.45
Los Angeles,Annual Ozone Concentration,0.065
Los Angeles,Total Population,5510
Los Angeles,Poverty (% Below Poverty Level),39.2
Los Angeles,Asthma,70.82
Los Angeles,Annual PM 2.5 Concentrations,12.30827709
Los Angeles,Cardiovascular Disease,19.23
Los Angeles,Drinking Water Contaminant Index,828.12
Los Angeles,Imparired Water Bodies,7
Los Angeles,Groundwater Threats,1.05
Los Angeles,Pollution Burden Score,8.62
Los Angeles,Annual Ozone Concentration,0.048
Los Angeles,Total Population,7395
Los Angeles,Poverty (% Below Poverty Level),53.8
Los Angeles,Asthma,65.09
Los Angeles,Annual PM 2.5 Concentrations,11.87080549
Los Angeles,Cardiovascular Disease,19.32
Los Angeles,Drinking Water Contaminant Index,685.63
Los Angeles,Imparired Water Bodies,6
Los Angeles,Groundwater Threats,33.25
Los Angeles,Pollution Burden Score,8.51
Los Angeles,Annual Ozone Concentration,0.052
Los Angeles,Total Population,4443
Los Angeles,Poverty (% Below Poverty Level),51.2
Los Angeles,Asthma,66.53
Los Angeles,Annual PM 2.5 Concentrations,12.12237612
Los Angeles,Cardiovascular Disease,12.77
Los Angeles,Drinking Water Contaminant Index,373.79
Los Angeles,Imparired Water Bodies,5
Los Angeles,Groundwater Threats,68.25
Los Angeles,Pollution Burden Score,8.92
Los Angeles,Annual Ozone Concentration,0.043
Los Angeles,Total Population,4802
Los Angeles,Poverty (% Below Poverty Level),62.6
Los Angeles,Asthma,65.92
Los Angeles,Annual PM 2.5 Concentrations,11.96074742
Los Angeles,Cardiovascular Disease,16.69
Los Angeles,Drinking Water Contaminant Index,821.08
Los Angeles,Imparired Water Bodies,3
Los Angeles,Groundwater Threats,188.45
Los Angeles,Pollution Burden Score,8.15
Los Angeles,Annual Ozone Concentration,0.055
Los Angeles,Total Population,5139
Los Angeles,Poverty (% Below Poverty Level),54.3
Los Angeles,Asthma,74.78
Los Angeles,Annual PM 2.5 Concentrations,11.41126373
Los Angeles,Cardiovascular Disease,15.13
